map_size,num_agents,density,disjoint,heuristic,time_limit,cpu_time,h_time,h_cache,emvc_mvc_time,root_h_val,mdd_cache,mdd_time,expanded,generated
20,10,0.0,False,dg,60.0,0.3950026035308838,0.12000393867492676,10040.0,0.0,1.0,5792.0,0.15400004386901855,34.0,67.0
20,10,0.0,False,dg,60.0,0.05800676345825195,0.0,392.0,0.0,0.0,1344.0,0.04900407791137695,2.0,3.0
20,10,0.0,False,dg,60.0,0.06299781799316406,0.0,392.0,0.0,0.0,1344.0,0.05599522590637207,2.0,3.0
20,10,0.0,False,dg,60.0,0.03403759002685547,0.0,296.0,0.0,0.0,872.0,0.033037662506103516,1.0,1.0
20,10,0.0,False,dg,60.0,0.04303574562072754,0.0,392.0,0.0,0.0,1344.0,0.03803563117980957,2.0,3.0
20,10,0.0,False,dg,60.0,0.05100440979003906,0.0,1312.0,0.0,1.0,1536.0,0.04399394989013672,5.0,9.0
20,10,0.0,False,dg,60.0,0.06999969482421875,0.0040056705474853516,1600.0,0.0,1.0,2648.0,0.04500770568847656,10.0,19.0
20,10,0.0,False,dg,60.0,0.05700087547302246,0.0009999275207519531,488.0,0.0,0.0,1408.0,0.04999709129333496,3.0,5.0
20,10,0.0,False,dg,60.0,0.03999495506286621,0.001001596450805664,392.0,0.0,0.0,1344.0,0.03600335121154785,2.0,3.0
20,10,0.0,False,dg,60.0,0.052991628646850586,0.0069921016693115234,520.0,0.0,0.0,1408.0,0.03800082206726074,3.0,5.0
20,10,0.0,False,dg,60.0,0.14499592781066895,0.03903937339782715,5664.0,0.0,0.0,3096.0,0.06697535514831543,17.0,33.0
20,10,0.0,False,dg,60.0,0.03700137138366699,0.0,296.0,0.0,0.0,872.0,0.035001277923583984,1.0,1.0
20,10,0.0,False,dg,60.0,0.03502988815307617,0.0,296.0,0.0,0.0,872.0,0.03203845024108887,1.0,1.0
20,10,0.0,False,dg,60.0,0.14299607276916504,0.008002281188964844,840.0,0.0,0.0,1536.0,0.0969996452331543,6.0,11.0
20,10,0.0,False,dg,60.0,0.12800121307373047,0.026044368743896484,2808.0,0.0,1.0,2872.0,0.06299948692321777,15.0,29.0
20,10,0.0,False,dg,60.0,0.052997589111328125,0.0009996891021728516,744.0,0.0,0.0,1408.0,0.043996572494506836,3.0,5.0
20,10,0.0,False,dg,60.0,0.04099893569946289,0.0010001659393310547,776.0,0.0,0.0,1408.0,0.03399825096130371,3.0,5.0
20,10,0.0,False,dg,60.0,0.0840003490447998,0.0030002593994140625,840.0,0.0,0.0,1408.0,0.06499791145324707,3.0,5.0
20,10,0.0,False,dg,60.0,0.058991432189941406,0.005999326705932617,520.0,0.0,0.0,1408.0,0.04499077796936035,3.0,5.0
20,10,0.0,False,dg,60.0,0.03699994087219238,0.0,296.0,0.0,0.0,872.0,0.03499889373779297,1.0,1.0
20,10,0.1,False,dg,60.0,0.03499770164489746,0.0,424.0,0.0,0.0,1344.0,0.030998706817626953,2.0,3.0
20,10,0.1,False,dg,60.0,0.5350098609924316,0.15505719184875488,19008.0,0.0,1.0,9560.0,0.18597793579101562,54.0,107.0
20,10,0.1,False,dg,60.0,0.07296466827392578,0.009000062942504883,2616.0,0.0,2.0,2520.0,0.041956186294555664,8.0,15.0
20,10,0.1,False,dg,60.0,0.41700077056884766,0.20905184745788574,4832.0,0.0,1.0,2872.0,0.10403656959533691,27.0,53.0
20,10,0.1,False,dg,60.0,0.07900071144104004,0.002004384994506836,1312.0,0.0,0.0,1536.0,0.05499982833862305,5.0,9.0
20,10,0.1,False,dg,60.0,0.036002397537231445,0.0020003318786621094,424.0,0.0,0.0,1344.0,0.029998302459716797,2.0,3.0
20,10,0.1,False,dg,60.0,0.0829920768737793,0.01200246810913086,2552.0,0.0,0.0,2456.0,0.05299687385559082,7.0,13.0
20,10,0.1,False,dg,60.0,0.0449976921081543,0.0010385513305664062,776.0,0.0,1.0,1472.0,0.03400754928588867,4.0,7.0
20,10,0.1,False,dg,60.0,0.031001567840576172,0.0,296.0,0.0,0.0,872.0,0.029001474380493164,1.0,1.0
20,10,0.1,False,dg,60.0,0.11300039291381836,0.01900482177734375,5344.0,0.0009992122650146484,2.0,2808.0,0.05099153518676758,15.0,29.0
20,10,0.1,False,dg,60.0,0.14900565147399902,0.04300189018249512,1376.0,0.0,0.0,1472.0,0.08000516891479492,4.0,7.0
20,10,0.1,False,dg,60.0,0.07399964332580566,0.010996818542480469,840.0,0.0,0.0,1472.0,0.050998687744140625,4.0,7.0
20,10,0.1,False,dg,60.0,0.07800006866455078,0.010001420974731445,2680.0,0.0,1.0,2712.0,0.04199695587158203,11.0,21.0
20,10,0.1,False,dg,60.0,0.035967350006103516,0.0,744.0,0.0,0.0,1408.0,0.02896571159362793,3.0,5.0
20,10,0.1,False,dg,60.0,0.03500103950500488,0.0,424.0,0.0,0.0,1344.0,0.03100132942199707,2.0,3.0
20,10,0.1,False,dg,60.0,0.05100131034851074,0.0,1376.0,0.0,0.0,1536.0,0.037000417709350586,5.0,9.0
20,10,0.1,False,dg,60.0,0.03200364112854004,0.0,392.0,0.0,0.0,1344.0,0.02799844741821289,2.0,3.0
